"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"699","1883",17,30,53,15.4,0,1.3,51.4,81.7,9.8,"WGS84",51.28617,6.63021,"B83","E10","U111","8","mineral","GERMANY"
"700","1884",27,63,10,41.5,69,3.2,155.5,121.6,20.1,"WGS84",51.52206,6.69934,"E20","8","U111","8","mineral","GERMANY"
"701","1885",9,15,76,18.8,0,1.6,64,230.6,7.8,"WGS84",51.48285,6.58687,"B15","8","U111","8","mineral","GERMANY"
"702","1886",13,60,27,12.6,0,1.2,92.2,43.3,10,"WGS84",51.24343,6.40391,"B11","8","U111","8","mineral","GERMANY"
"703","1887",9,47,43,15.7,1,1.3,58.4,98.9,6.7,"WGS84",51.1105,6.18552,"B11","8","U111","8","mineral","GERMANY"
"704","1888",8,24,68,18.7,2,1.5,118.7,343.7,9.7,"WGS84",51.28026,6.42976,"B16","8","U111","8","mineral","GERMANY"
"705","1889",4,28,67,9.9,0,0.9,108,86.3,3.3,"WGS84",51.29277,6.25645,"B16","8","U111","8","mineral","GERMANY"
"706","1890",NA,NA,NA,300.4,3,22.8,20.5,275.7,48.4,"WGS84",51.85601,7.08174,"E20","8","U111","8","organic","GERMANY"
"707","1891",13,73,14,10.3,1,1.2,87.5,116.7,9.3,"WGS84",51.31344,6.34096,"B21","8","U111","8","mineral","GERMANY"
"708","1892",21,37,42,30.6,3,2.6,65.1,70.6,29.8,"WGS84",51.33229,6.36821,"B16","8","U111","8","mineral","GERMANY"
"709","1893",11,23,66,31.8,7,2.9,42.7,55.5,14.7,"WGS84",51.40498,6.39119,"C10","8","U120","8","mineral","GERMANY"
"710","1894",4,10,86,25.9,0,2.3,92.9,46.8,5.8,"WGS84",51.88436,6.78914,"E20","8","U111","8","mineral","GERMANY"
"711","1895",14,17,69,19.1,0,1.8,87.2,333.6,13.1,"WGS84",51.97649,6.86999,"E20","8","U111","8","mineral","GERMANY"
"712","1896",5,9,86,44.4,0,2.2,103.3,159.5,10.9,"WGS84",51.90431,6.8752,"B13","8","U111","8","mineral","GERMANY"
"713","1897",3,5,92,18,1,1.3,60,46.5,5.4,"WGS84",51.9983,7.01593,"B16","8","U111","8","mineral","GERMANY"
"714","1898",5,11,84,14.5,0,1,67.4,140.7,7.4,"WGS84",51.82978,6.76537,"B22","8","U111","8","mineral","GERMANY"
"715","1899",51,46,3,66.9,8,6.7,92.7,364.7,34.1,"WGS84",51.81233,6.18444,"E20","8","U111","8","mineral","GERMANY"
"716","1901",11,16,73,15.6,2,1.6,93.7,158.3,12.4,"WGS84",51.81276,6.82419,"B16","8","U111","8","mineral","GERMANY"
"717","1903",10,16,73,31.7,0,1.6,10.6,32.9,6.2,"WGS84",51.75708,6.74022,"C10","8","U120","8","mineral","GERMANY"
"718","1904",15,71,14,21.7,0,2,45.6,119.6,9.9,"WGS84",51.70744,6.28022,"E10","8","U111","8","mineral","GERMANY"
"719","1905",10,20,70,10.4,0,1,44.5,89.8,5.6,"WGS84",51.63202,6.17049,"B41","8","U111","8","mineral","GERMANY"
"720","1906",5,9,87,24.3,0,2.2,40.1,0,5.5,"WGS84",51.71954,6.68495,"E20","8","U111","8","mineral","GERMANY"
"721","1907",6,10,84,16.7,0,1.7,57.3,76.9,7,"WGS84",51.51447,6.44024,"E20","8","U111","8","mineral","GERMANY"
"722","1908",16,43,41,14.8,3,1.5,129.8,293.4,11,"WGS84",51.82045,6.44589,"B11","8","U111","8","mineral","GERMANY"
"723","1909",11,63,26,15.2,17,1.5,128.7,163.7,11.8,"WGS84",51.49112,6.26902,"B16","8","U111","8","mineral","GERMANY"
"724","1910",6,20,74,19.9,0,1.6,90.8,184.3,8.1,"WGS84",51.61812,6.92363,"B45","8","U111","8","mineral","GERMANY"
"725","1911",17,77,6,15.2,2,1.6,56,193.6,12.1,"WGS84",51.47908,7.9701,"B32","8","U111","8","mineral","GERMANY"
"726","1912",26,54,20,18.6,2,2,49,264.2,13.2,"WGS84",51.37025,7.91746,"B32","8","U111","8","mineral","GERMANY"
"727","1913",20,73,7,30.2,1,2.8,23.5,49.2,14.3,"WGS84",51.31478,7.83391,"E20","8","U111","8","mineral","GERMANY"
"728","1915",16,62,22,27.3,1,2.8,22.4,63.1,8.4,"WGS84",51.15464,7.92721,"E20","8","U111","U150","mineral","GERMANY"
"729","1916",26,51,23,51.2,1,3.4,16,49.6,11.6,"WGS84",51.13562,7.87091,"C20","8","U120","8","mineral","GERMANY"
